	sample	lambda
0	(3002, 6, 'CSM5FZ3Z')	0.26
1	(3002, 8, 'CSM5FZ44')	0.98
2	(3002, 9, 'CSM5FZ46')	0.45
3	(3003, 5, 'CSM5FZ4E')	1.0
4	(3003, 6, 'CSM5FZ4G')	1.0
5	(3003, 7, 'CSM5FZ4I')	1.0
6	(3007, 6, 'CSM5MCV3')	0.0
7	(3007, 7, 'CSM5MCV5')	0.0
8	(3007, 4, 'CSM5MCVB')	0.93
9	(3001, 11, 'CSM5MCVD')	1.0
10	(3001, 12, 'CSM5MCVF')	0.0
11	(3001, 13, 'CSM5MCVV')	0.78
12	(3008, 6, 'CSM5MCVZ')	1.0
13	(3009, 5, 'CSM5MCW8')	0.0
14	(3001, 6, 'CSM5YRY7')	0.24
15	(5004, 9, 'ESM5GEZA')	1.0
16	(5001, 13, 'ESM5MEBA')	0.0
17	(5008, 4, 'ESM5MEBL')	0.19
18	(5004, 11, 'ESM5MEBQ')	1.0
19	(5001, 4, 'ESM5MEDZ')	0.17
20	(5001, 5, 'ESM5MEE2')	1.0
21	(5001, 7, 'ESM5MEE6')	1.0
22	(5001, 8, 'ESM5MEEA')	1.0
23	(5001, 9, 'ESM5MEEB')	1.0
24	(5004, 4, 'ESM5MEEG')	1.0
25	(4001, 7, 'HSM5FZBQ')	1.0
26	(4001, 8, 'HSM5FZBR')	0.89
27	(4001, 6, 'HSM5FZBT')	0.99
28	(4001, 5, 'HSM5FZBU')	0.96
29	(4006, 6, 'HSM5MD4B')	1.0
30	(4006, 5, 'HSM5MD4C')	1.0
31	(4007, 5, 'HSM5MD4R')	1.0
32	(4001, 12, 'HSM5MD5H')	0.0
33	(4001, 11, 'HSM5MD7W')	1.0
34	(4007, 4, 'HSM5MD7Z')	0.97
35	(4006, 4, 'HSM5MD86')	0.22
36	(4010, 4, 'HSM5MD87')	0.0
37	(4011, 4, 'HSM5MD8J')	0.0
38	(2010, 8, 'MSM5FZ9Q')	0.52
39	(2010, 9, 'MSM5FZ9S')	0.0
40	(2010, 11, 'MSM5FZ9T')	0.18
41	(2014, 5, 'MSM5FZ9V')	0.0
42	(2014, 7, 'MSM5FZ9Z')	0.0
43	(2014, 8, 'MSM5FZA2')	0.0
44	(2010, 13, 'MSM5LLE5')	0.12
45	(2010, 15, 'MSM5LLE9')	0.0
46	(2026, 7, 'MSM5LLFO')	1.0
47	(2026, 9, 'MSM5LLFS')	1.0
48	(2026, 11, 'MSM5LLFU')	1.0
49	(2014, 15, 'MSM5LLGD')	0.0
50	(2014, 13, 'MSM5LLGH')	0.0
51	(2014, 16, 'MSM5LLGJ')	0.0
52	(2028, 9, 'MSM5LLGV')	0.0
53	(2028, 11, 'MSM5LLGX')	1.0
54	(2025, 6, 'MSM5LLHG')	1.0
55	(2025, 7, 'MSM5LLHI')	1.0
56	(2025, 9, 'MSM5LLHK')	1.0
57	(2025, 8, 'MSM5LLHM')	1.0
58	(2025, 11, 'MSM5LLHO')	1.0
59	(2008, 13, 'MSM5LLHZ')	0.0
60	(2025, 4, 'MSM5LLIC')	1.0
61	(2021, 5, 'MSM5LLIE')	0.0
62	(2021, 8, 'MSM5LLIK')	1.0
63	(2021, 9, 'MSM5LLIM')	0.0
64	(2021, 11, 'MSM5LLIO')	1.0
65	(2026, 4, 'MSM5LLIQ')	1.0
66	(2027, 4, 'MSM5LLIS')	0.07
67	(2014, 9, 'MSM5ZOJY')	1.0
68	(2014, 11, 'MSM633FF')	1.0
